Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
Feeder 0971,---,---,0,ABCN,12,173,4487,6118,6334,7064,0.0646,0.9786,0.0323,2.6725,173,7497,9913,10585,9401,11446
0971_09711,971 TO P133509,3-636_AL_C,0.19,ABCN,12,173,4346,5979,6185,6903,0.0699,1.0011,0.048,2.7768,173,7230,9651,10289,9163,11144
09711_09711AN,TS 237-T1-971,3-636_AL_C,0.21,ABCN,12,173,4334,5967,6173,6891,0.0704,1.003,0.0493,2.7854,173,7208,9630,10265,9144,11120
09711_09712,P133509 TO Z104217,3-636_AL_C,0.31,ABCN,12,173,4262,5894,6094,6806,0.0733,1.0153,0.0578,2.8423,173,7071,9493,10112,9020,10962
09712_0971231,Z104217 TO P715309,3-#2_AL_C,0.35,ABCN,12,173,4233,5859,6058,6766,0.0828,1.0207,0.0692,2.8628,173,6983,9357,9992,8915,10805
09712_09713,Z104217 TO Z104216,3-636_AL_C,0.54,ABCN,12,173,4110,5740,5930,6628,0.0797,1.0422,0.0765,2.9668,173,6788,9208,9793,8760,10632
09713_09714,Z104216 TO Z104215,3-636_AL_C,0.7,ABCN,12,173,4008,5634,5817,6506,0.0843,1.0616,0.0899,3.0563,173,6598,9012,9576,8582,10407
09714_09711058,Z104215 TO P818752,3-#2_AL_B,0.81,A CN,12,173,3933,5535,5713,---,0.1127,1.0782,0.1242,3.1171,173,6370,8645,9255,---,---
09714_09715,Z104215 TO Z104214,3-636_AL_C,0.86,ABCN,12,173,3915,5537,5713,6393,0.0887,1.0801,0.1028,3.1421,173,6425,8833,9377,8418,10199
09715_09716,Z104214 TO Z104213,3-636_AL_C,1.08,ABCN,12,173,3792,5407,5575,6243,0.0948,1.1057,0.1206,3.2605,173,6201,8596,9116,8202,9926
09716_09717,Z104213 TO Z104212,3-636_AL_C,1.27,ABCN,12,173,3689,5296,5457,6115,0.1002,1.1286,0.1365,3.3665,173,6014,8395,8896,8017,9694
09717_09718,Z104212 TO P228184,3-636_AL_C,1.36,ABCN,12,173,3642,5244,5403,6055,0.1028,1.1396,0.1441,3.4172,173,5928,8302,8794,7932,9586
09718_09719,P228184 TO Z104211,3-636_AL_C,1.45,ABCN,12,172,3597,5195,5351,5999,0.1053,1.1502,0.1515,3.4664,172,5847,8214,8697,7851,9485
09719_097110,Z104211 TO Z104210,3-636_AL_C,1.6,ABCN,12,172,3526,5117,5268,5908,0.1094,1.1675,0.1636,3.5466,172,5719,8074,8545,7722,9323
09711058_09711059,P818752 TO P818753,3-#2_AL_B,1.02,A CN,12,172,3793,5343,5514,---,0.1677,1.1103,0.1903,3.2345,172,5969,8005,8680,---,---
09711059_09711060,P818753 TO P818754,3-#2_AL_B,1.27,A CN,12,172,3631,5115,5278,---,0.2345,1.1493,0.2705,3.377,172,5541,7330,8054,---,---
097110_097111,Z104210 TO Z104209,3-636_AL_C,1.86,ABCN,12,172,3409,4986,5131,5757,0.1166,1.1977,0.1846,3.6864,172,5510,7841,8292,7508,9054
097111_097112,Z104209 TO Z104208,3-636_AL_C,2.01,ABCN,12,172,3341,4909,5050,5668,0.121,1.2163,0.1974,3.7721,172,5389,7704,8144,7382,8896
097112_09711201,Z104208 TO P214962,3-#2_AL_C,2.33,ABCN,12,172,3187,4685,4818,5410,0.2054,1.2642,0.2989,3.9554,172,4955,6950,7492,6787,8025
097112_097113,Z104208 TO Z104207,3-636_AL_C,2.3,ABCN,12,172,3226,4776,4910,5515,0.1289,1.2496,0.2207,3.9267,172,5184,7470,7891,7165,8626
097113_09711301,Z104207 TO P32727,3-#2_AL_B,2.42, BCN,12,172,3169,4692,4823,---,0.1612,1.2685,0.2595,3.9957,172,5022,7180,7644,---,---
097113_097114,Z104207 TO Z104206,3-636_AL_C,2.64,ABCN,12,172,3094,4623,4749,5338,0.1386,1.2905,0.249,4.1156,172,4953,7202,7602,6917,8316
097114_097115,Z104206 TO Z104205,3-636_AL_C,2.95,ABCN,12,172,2988,4497,4617,5192,0.1471,1.3262,0.2739,4.281,172,4767,6983,7367,6714,8063
097115_097116,Z104205 TO Z104204,3-636_AL_C,3.15,ABCN,12,172,2922,4417,4534,5101,0.1527,1.3497,0.2902,4.3897,172,4653,6846,7221,6587,7905
097116_097117,Z104204 TO Z104203,3-636_AL_C,3.31,ABCN,12,172,2867,4352,4466,5025,0.1574,1.3698,0.3041,4.4825,172,4559,6733,7100,6482,7775
097117_097118,Z104203 TO Z104202,3-636_AL_C,3.52,ABCN,12,172,2805,4276,4386,4937,0.1631,1.3937,0.3208,4.5933,172,4452,6603,6961,6360,7624
097118_097119,Z104202 TO Z104201,3-636_AL_C,3.77,ABCN,12,172,2733,4186,4293,4834,0.1701,1.4231,0.3412,4.7293,172,4327,6450,6798,6218,7448
097119_097120,Z104201 TO Z104200,3-636_AL_C,3.94,ABCN,12,172,2683,4125,4229,4763,0.175,1.444,0.3557,4.8259,172,4243,6346,6687,6121,7327
097120_097121,Z104200 TO Z104199,3-636_AL_C,4.14,ABCN,12,172,2631,4060,4161,4688,0.1805,1.4669,0.3716,4.9318,172,4154,6235,6570,6017,7200
097121_09712101,Z104199 TO P110643,3-#6_CU_B,4.37,A CN,12,171,2553,3922,4021,---,0.277,1.5045,0.4806,5.0651,171,3903,5713,6147,---,---
097121_097122,Z104199 TO P190321,3-636_AL_C,4.25,ABCN,12,172,2601,4022,4122,4644,0.1837,1.4805,0.381,4.9946,172,4103,6171,6502,5957,7126
097122_09712201,P190321 TO P113125,3-336_AL_C,4.52,ABCN,12,172,2533,3931,4028,4539,0.1974,1.5134,0.409,5.1406,172,3979,5998,6328,5801,6926
097122_097123,P190321 TO Z104198,3-336_AL_C,4.33,ABCN,12,172,2581,3995,4094,4614,0.1876,1.4899,0.3891,5.0367,172,4066,6120,6451,5912,7067
0971231_0971232,P715309 TO P715310,3-#2_AL_C,0.56,ABCN,12,172,4066,5646,5835,6519,0.1404,1.0534,0.1385,2.9881,172,6485,8591,9307,8317,9921
0971232_0971233,P715310 TO P715311,3-#2_AL_C,0.83,ABCN,12,172,3867,5380,5558,6213,0.2131,1.0946,0.2258,3.1459,172,5944,7769,8543,7660,8971
097123_097124,Z104198 TO Z104197,3-636_AL_C,4.51,ABCN,12,172,2537,3939,4036,4549,0.1926,1.5108,0.4036,5.1334,172,3992,6026,6351,5823,6958
097124_097125,Z104197 TO Z104196,3-636_AL_C,4.69,ABCN,12,172,2493,3884,3978,4485,0.1977,1.5322,0.4185,5.2322,172,3918,5933,6252,5736,6851
097125_097126,Z104196 TO Z104195,3-636_AL_C,4.98,ABCN,12,172,2426,3797,3888,4384,0.2059,1.5669,0.4426,5.3927,172,3804,5787,6098,5599,6683
097126_097127,Z104195 TO Z104194,3-636_AL_C,5.2,ABCN,12,171,2378,3735,3824,4313,0.2119,1.5924,0.4603,5.5107,171,3725,5685,5989,5503,6564
097127_097128,Z104194 TO Z104193,3-636_AL_C,5.41,ABCN,12,171,2333,3676,3763,4245,0.2179,1.6176,0.4778,5.6275,171,3649,5587,5885,5411,6451
097128_097129,Z104193 TO Z104192,3-636_AL_C,5.6,ABCN,12,171,2295,3626,3711,4187,0.2231,1.6395,0.493,5.7286,171,3586,5505,5799,5333,6356
097129_097130,Z104192 TO Z104191,3-636_AL_C,5.88,ABCN,12,171,2240,3553,3635,4103,0.231,1.6729,0.5162,5.8831,171,3494,5384,5671,5219,6216
097130_097131,Z104191 TO Z104190,3-636_AL_C,6.13,ABCN,12,171,2193,3491,3571,4031,0.238,1.7021,0.5366,6.0185,171,3417,5282,5563,5123,6099
097131_097132,Z104190 TO Z104189,3-636_AL_C,6.38,ABCN,12,171,2148,3431,3509,3962,0.245,1.7315,0.557,6.1545,171,3343,5183,5460,5030,5985
097132_097133,Z104189 TO Z104188,3-636_AL_C,6.63,ABCN,12,171,2105,3372,3448,3894,0.252,1.7613,0.5776,6.2921,171,3271,5087,5359,4940,5874
097133_097134,Z104188 TO Z104187,3-636_AL_C,6.88,ABCN,12,171,2064,3316,3390,3829,0.259,1.7906,0.5981,6.428,171,3203,4996,5262,4853,5769
097134_097135,Z104187 TO P104099,3-636_AL_C,6.95,ABCN,12,171,2052,3300,3374,3811,0.261,1.7993,0.6041,6.4681,171,3184,4970,5235,4828,5739
097135_097136,P104099 TO P104216,3-636_AL_C,7.04,ABCN,12,171,2038,3281,3354,3789,0.2635,1.8094,0.6111,6.5151,171,3161,4939,5202,4799,5703
097136_097137,P104216 TO P104771,3-636_AL_C,7.28,ABCN,12,171,2001,3230,3301,3730,0.2702,1.8379,0.6309,6.6467,171,3100,4856,5115,4720,5607
097137_097138,P104771 TO P104772,3-636_AL_C,7.53,ABCN,12,171,1963,3178,3248,3670,0.2772,1.8675,0.6515,6.7837,171,3038,4772,5026,4641,5510
097138_097139,P104772 TO P105832,3-636_AL_C,7.75,ABCN,12,171,1932,3134,3203,3619,0.2833,1.8932,0.6694,6.9027,171,2987,4701,4952,4574,5429
097139_097140,P105832 TO P515808,3-636_AL_C,8.06,ABCN,12,171,1887,3073,3139,3548,0.2922,1.9308,0.6954,7.0764,171,2915,4602,4847,4479,5314
097140_097141,P515808 TO P319066,3-636_AL_C,8.24,ABCN,12,171,1864,3040,3106,3511,0.2971,1.951,0.7095,7.1703,171,2877,4550,4793,4430,5254
097141_09714101,P319066 TO P319067,3-#6_CU_B,8.28,A CN,12,171,1857,3027,3092,---,0.3134,1.9574,0.7279,7.1928,171,2856,4499,4753,---,---
097141_097142,P319066 TO P319065,3-636_AL_C,8.5,ABCN,12,171,1831,2993,3057,3456,0.3043,1.9816,0.7308,7.3117,171,2822,4474,4713,4357,5166
097142_097143,P319065 TO P118906,3-636_AL_C,8.75,ABCN,12,170,1798,2947,3010,3403,0.3115,2.0119,0.7518,7.452,170,2770,4401,4636,4288,5081
097143_097144,P118906 TO P610661,3-636_AL_C,8.9,ABCN,12,170,1780,2922,2984,3374,0.3156,2.0292,0.7638,7.5317,170,2741,4360,4593,4249,5035
097144_097145,P610661 TO P118905,3-636_AL_C,9.15,ABCN,12,170,1751,2880,2940,3325,0.3225,2.0584,0.7842,7.6671,170,2693,4293,4523,4185,4957
097145_097146,P118905 TO P104861,3-636_AL_C,9.3,ABCN,12,170,1734,2855,2915,3297,0.3267,2.076,0.7964,7.7485,170,2666,4254,4482,4148,4912
097146_097147,P104861 TO P118904,3-636_AL_C,9.46,ABCN,12,170,1716,2829,2888,3267,0.3312,2.0949,0.8095,7.8358,170,2636,4212,4438,4108,4864
097147_097148,P118904 TO P118903,3-636_AL_C,9.58,ABCN,12,170,1701,2808,2867,3243,0.3348,2.11,0.82,7.9057,170,2613,4180,4404,4077,4826
097148_09714801,P118903 TO P413379,3-#6_CU_B,9.65, BCN,12,170,1691,2788,2846,---,0.364,2.1214,0.853,7.9461,170,2582,4103,4344,---,---
097148_097149,P118903 TO P104865,3-636_AL_C,9.68,ABCN,12,170,1690,2793,2850,3225,0.3376,2.1219,0.8283,7.9609,170,2596,4154,4377,4053,4797
097149_097150,P104865 TO P136257,3-636_AL_C,9.86,ABCN,12,170,1671,2765,2822,3193,0.3426,2.1429,0.8429,8.0581,170,2565,4111,4331,4011,4746
097150_09715001,P136257 TO P136258,3-#2_AL_B,10.09,A CN,12,170,1641,2707,2763,---,0.4045,2.1791,0.9173,8.1903,170,2488,3938,4189,---,---
097150_097151,P136257 TO P118902,3-636_AL_C,9.98,ABCN,12,170,1658,2746,2803,3171,0.346,2.1573,0.8529,8.1247,170,2544,4081,4300,3983,4712
097151_097152,P118902 TO P104876,3-636_AL_C,10.24,ABCN,12,170,1632,2709,2764,3128,0.353,2.1869,0.8735,8.2617,170,2502,4021,4238,3926,4644
097152_097153,P104876 TO P118901,3-636_AL_C,10.46,ABCN,12,170,1610,2676,2731,3090,0.3592,2.213,0.8916,8.3824,170,2467,3970,4184,3877,4585
097153_09715301,P118901 TO P317649,3-#6_CU_C,10.67,ABCN,12,170,1582,2619,2672,3024,0.4489,2.247,0.9928,8.5083,170,2382,3765,4023,3718,4348
