Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
0355_03551,1000AXLPEP,520,0.37,ABCN,126,0,214,100,41,41,0,0,4670,0,10452,1466,1,2,---,355 TO M101329
03551_03552,1000AXLPEP,520,0.5,ABCN,125.9,0,214,100,41,41,0,0,4668,-2,10452,1466,0,1,---,M101329 TO 355-24
SW 03552_03552A,Device Conductor 600A,600,0.51,ABCN,125.9,0,214,100,36,36,0,0,4668,-2,10452,1466,0,0,---,355-24
03552A_0355201,3-336_AL_C,530,0.62,ABCN,125.9,0,1,97.4,0,0,21,5,21,5,50,9,0,0,---,355-24 TO 355-T8-357
03552A_03553,3-636_AL_C,770,0.67,ABCN,125.9,0,213,100,28,28,0,0,4647,-7,10402,1457,1,3,---,355-24 TO P672256
03553_0355301,3-636_AL_C,770,0.92,ABCN,125.9,0,0.2,97.4,0,0,4,1,4,1,10,2,0,0,---,P672256 TO P776636
03553_03554,3-636_AL_C,770,0.89,ABCN,125.9,0,212.8,100,28,28,0,0,4642,-11,10392,1455,1,4,---,P672256 TO P670882
03554_03555,3-636_AL_C,770,0.97,ABCN,125.9,0,212.8,100,28,28,0,0,4641,-14,10392,1455,0,1,---,P670882 TO P777440
03555_03556,3-636_AL_C,770,1.14,ABCN,125.9,0,211.6,100,27,27,10,2,4614,-22,10327,1450,1,3,---,P777440 TO P672260
03556_03557,3-636_AL_C,770,1.34,ABCN,125.9,0,211.1,100,27,27,0,0,4603,-27,10302,1445,1,3,---,P672260 TO P776637
03557_03558,3-636_AL_C,770,1.69,ABCN,125.8,0,211.1,100,27,27,0,0,4602,-30,10302,1445,1,6,---,P776637 TO P776638
03558_0355801,3-#2_AL_B,180,1.78, BCN,125.8,0,0.7,97.4,0,0,10,2,10,2,25,1,0,0,---,P776638 TO P877346
03558_03559,3-636_AL_C,770,1.86,ABCN,125.8,0,210.6,100,27,27,0,0,4590,-38,10277,1444,1,3,---,P776638 TO P677609
03559_035510,3-636_AL_C,770,2.17,ABCN,125.8,0,193.6,-100,25,25,0,0,4217,-131,9348,1374,1,4,---,P677609 TO P677608
03559_0355901,3-#6_CU_C,130,2.08,AB N,125.8,0,24.5,97.2,19,19,0,0,345,83,864,64,0,0,---,P677609 TO P177502
03559_0355949,3-#4_CU_B,180,2.06, BCN,125.8,0,1.9,97.4,1,1,0,0,27,6,65,6,0,0,---,P677609 TO P578556
FU 035510_035510A,Device Conductor 30A,30,2.18,A  N,125.8,0,1.4,97.2,5,5,0,0,10,2,25,1,0,0,---,P677608
FU 03555_03555A,Device Conductor 15A,15,0.98, BCN,125.9,0,1.9,97.4,13,13,0,0,27,6,65,5,0,0,---,P777440
FU 0355949_0355949A,Device Conductor 15A,15,2.07, BCN,125.8,0,1.9,97.4,13,13,0,0,27,6,65,6,0,0,---,P578556
SW 0355201_0357502,Device Conductor 900A,900,0.63,ABCN,125.9,0,0,0,0,0,0,0,0,0,0,0,0,0,---,TS 355-T8-357
035510_035511,3-636_AL_C,770,2.33,ABCN,125.8,0,193.1,-99.9,25,25,4,1,4206,-137,9323,1373,1,2,---,P677608 TO P677607
035510A_03551001,#2_CU_PECN,135,2.24,A  N,125.8,0,1.4,97.2,1,1,10,2,10,2,25,1,0,0,---,P677608 TO D2422783540
035511_035512,3-636_AL_C,770,2.47,ABCN,125.8,0,193,-99.9,25,25,0,0,4201,-140,9313,1372,0,2,---,P677607 TO P776639
035512_03551201,3-#2_AL_C,180,2.55,ABCN,125.8,0,1,97.3,1,1,10,2,20,5,50,3,0,0,---,P776639 TO P30127
035512_035513,3-636_AL_C,770,2.87,ABCN,125.7,0,192,-99.9,25,25,0,0,4180,-147,9263,1369,1,5,---,P776639 TO P75952
035513_03551306,3-#4_CU_C,180,3.1,ABCN,125.7,0,24.5,97.7,14,14,0,0,522,115,1290,105,0,0,---,P75952 TO P75951
035513_03551394,3-#6_CU_B,130,3.17, BCN,125.7,0,0,100,0,0,0,0,0,0,0,0,0,0,---,P75952 TO P77682
035513_035514,3-394_AL_C,530,3.27,ABCN,125.7,0,167.2,-99.7,32,32,0,0,3630,-274,7908,1261,2,4,---,P75952 TO P75953
035514_035515,3-394_AL_C,530,3.66,ABCN,125.6,0,167.2,-99.7,32,32,10,2,3629,-278,7908,1261,2,4,---,P75953 TO P75954
035515_035516,3-394_AL_C,530,3.95,ABCN,125.6,0,166.7,-99.7,31,31,0,0,3616,-285,7883,1259,1,3,---,P75954 TO P75955
035516_035517,3-394_AL_C,530,4.03,ABCN,125.6,0,165.3,-99.7,31,31,0,0,3585,-295,7811,1253,0,1,---,P75955 TO P678712
035517_035518,3-394_AL_C,530,4.3,ABCN,125.6,0,160.7,-99.6,30,30,0,0,3482,-320,7566,1234,1,3,---,P678712 TO P75956
035518_03551801,3-#4_CU_B,180,4.44,A CN,125.6,0,0.7,97.3,0,0,10,2,10,2,25,6,0,0,---,P75956 TO P77521
035518_03551802,3-#4_CU_B,180,4.64, BCN,125.5,0,1.5,97.4,1,1,10,2,21,5,50,6,0,0,---,P75956 TO P77522
035518_035519,3-394_AL_C,530,4.41,ABCN,125.6,0,159.3,-99.5,30,30,0,0,3450,-330,7491,1222,0,1,---,P75956 TO P374924
